Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No
Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,No,Yes
Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Strongly Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Yes,No
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,No,Yes
Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Professionals,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,No,No
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Yes,No
Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Agree,Agree,31-50,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,No
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Institution,Agree,Disagree,Disagree,Myself,Strongly Disagree,Disagree,Agree,Disagree,Disagree,31-50,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Agree,Agree,Agree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Myself,Strongly Disagree,Disagree,Disagree,Agree,Agree,31-50,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,No,Yes
