id,first_name,last_name,gender,current_year,current_college,shs_strand,first_choice,second_choice,third_choice,current_course,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,result,Different_Course
1,,,,,,,,,,,4,4,4,4,1,4,4,4,3,4,4,4,4,4,1,3,4,3,3,3,4,4,4,4,4,0,0
2,,,,,,,,,,,3,3,3,3,1,3,3,3,3,3,3,3,3,2,1,3,3,2,3,3,3,2,2,3,3,0,0
3,,,,,,,,,,,4,4,4,3,1,2,3,2,3,4,2,2,2,1,1,3,4,3,2,2,3,2,3,2,1,0,1
4,,,,,,,,,,,4,4,3,4,1,4,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,2,2,3,3,0,0
5,,,,,,,,,,,3,4,4,4,1,3,3,3,3,2,3,3,3,2,1,3,2,2,2,3,3,1,1,3,3,0,1
6,,,,,,,,,,,4,3,4,4,1,3,2,1,3,2,3,3,3,3,1,2,2,3,3,3,3,2,3,3,2,0,1
7,,,,,,,,,,,4,4,3,4,1,4,4,4,6,4,3,3,2,1,1,3,4,3,2,2,3,3,3,4,4,0,0
8,,,,,,,,,,,4,3,4,4,1,3,4,4,1,4,2,3,3,3,1,3,4,3,2,2,3,3,3,2,4,0,0
9,,,,,,,,,,,3,4,3,3,1,3,3,3,1,3,3,3,3,3,1,4,3,3,1,1,3,4,4,3,3,0,0
10,,,,,,,,,,,4,3,4,4,1,3,3,3,1,3,3,3,3,3,1,3,3,1,3,2,3,2,3,4,1,0,0
11,,,,,,,,,,,4,4,4,4,4,3,2,2,1,1,2,3,2,2,1,4,1,3,3,4,3,3,3,3,4,0,1
12,,,,,,,,,,,3,3,3,3,1,1,1,1,1,1,2,2,3,3,1,1,1,1,3,4,1,1,1,4,3,0,1
13,,,,,,,,,,,4,3,3,3,1,4,4,3,1,3,3,2,3,2,1,3,3,3,3,2,3,3,3,3,2,0,1
14,,,,,,,,,,,4,4,4,4,1,4,3,3,2,4,3,3,4,3,1,4,4,4,2,2,4,3,3,3,2,0,0
15,,,,,,,,,,,3,4,4,4,1,2,2,3,2,3,3,3,3,3,1,3,3,3,3,4,3,2,2,3,1,0,1
16,,,,,,,,,,,4,4,4,4,1,4,4,3,2,4,3,3,4,3,1,3,4,3,2,2,3,4,4,2,4,0,0
17,,,,,,,,,,,4,3,4,4,1,3,1,1,2,3,3,3,1,3,1,1,3,1,3,2,3,3,3,3,4,0,1
18,,,,,,,,,,,3,4,3,3,1,4,4,4,2,4,3,3,3,2,1,3,4,3,2,2,3,3,3,1,3,0,0
19,,,,,,,,,,,3,3,4,4,1,4,4,4,2,4,2,3,3,3,1,3,4,3,2,2,3,3,3,4,2,0,0
20,,,,,,,,,,,3,4,4,4,1,3,3,3,2,4,3,3,3,3,1,3,4,3,2,4,3,3,4,2,3,0,0
21,,,,,,,,,,,3,4,3,3,1,3,3,2,2,3,2,3,3,2,1,3,3,2,2,2,2,2,2,3,2,0,0
22,,,,,,,,,,,2,3,3,3,1,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,0,0
23,,,,,,,,,,,3,4,4,4,1,2,3,3,2,3,2,3,3,4,1,2,3,3,3,2,2,2,1,4,1,0,0
24,,,,,,,,,,,3,3,4,3,1,3,3,3,2,3,3,2,3,4,1,3,3,3,3,4,3,3,4,3,3,0,0
25,,,,,,,,,,,4,2,2,2,1,3,3,2,2,3,3,3,3,2,1,3,3,2,2,3,2,2,3,4,3,0,0
26,,,,,,,,,,,3,3,4,4,1,4,4,4,2,3,3,3,4,2,1,3,3,4,4,4,3,3,3,4,4,0,0
27,,,,,,,,,,,4,3,3,3,1,3,3,2,2,4,1,2,3,2,1,3,4,3,3,1,2,2,3,3,3,0,0
28,,,,,,,,,,,4,4,4,4,1,3,3,2,2,2,3,3,3,3,1,3,2,3,3,3,3,3,3,3,4,0,1
29,,,,,,,,,,,3,3,4,4,2,3,2,2,2,2,2,3,2,3,1,2,2,2,3,3,2,2,3,4,2,0,1
30,,,,,,,,,,,4,4,4,4,2,4,3,3,2,4,3,3,3,3,1,4,4,4,1,1,3,3,3,3,4,0,0
31,,,,,,,,,,,3,4,4,4,2,3,2,3,2,3,1,3,3,3,1,3,3,3,2,1,3,1,2,4,3,0,0
32,,,,,,,,,,,3,4,4,4,2,3,4,4,2,4,3,3,3,3,1,3,4,4,4,3,4,4,4,4,4,0,0
33,,,,,,,,,,,3,3,3,3,2,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,0,1
34,,,,,,,,,,,3,4,4,4,2,2,2,2,2,2,2,3,1,3,1,3,2,1,1,3,4,3,4,4,2,0,1
35,,,,,,,,,,,3,2,3,3,2,3,3,2,2,3,2,3,3,3,1,3,3,3,2,2,3,3,3,3,2,0,0
36,,,,,,,,,,,4,4,4,4,1,4,4,2,2,4,4,4,4,1,1,4,4,2,2,2,3,2,3,4,4,0,0
37,,,,,,,,,,,4,4,3,3,1,3,4,2,5,4,4,1,2,1,1,3,4,2,4,3,3,1,4,4,2,0,0
38,,,,,,,,,,,4,4,4,4,1,3,3,3,2,3,3,3,4,2,1,3,3,3,2,1,3,2,3,2,2,0,0
39,,,,,,,,,,,4,4,4,4,1,3,4,3,2,4,3,4,3,2,1,3,4,4,2,1,4,4,3,3,3,0,1
40,,,,,,,,,,,3,3,3,4,1,3,3,2,2,3,3,3,3,4,1,2,3,3,3,4,3,3,3,4,3,0,0
41,,,,,,,,,,,2,2,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,3,2,2,3,2,1,3,3,0,0
42,,,,,,,,,,,4,4,4,4,1,4,3,2,2,3,2,3,4,3,1,3,3,3,2,3,3,3,3,4,4,0,1
43,,,,,,,,,,,3,3,4,4,2,2,2,2,2,2,3,3,3,3,1,2,2,2,3,2,2,2,2,4,3,0,1
44,,,,,,,,,,,4,4,4,4,1,3,4,2,2,3,1,3,2,1,1,1,3,1,3,1,1,3,1,4,1,0,0
45,,,,,,,,,,,4,4,3,4,1,2,2,2,2,2,3,3,2,3,1,3,2,2,4,3,3,2,3,4,3,0,1
46,,,,,,,,,,,4,3,3,3,1,3,3,2,2,3,3,3,3,2,1,3,3,3,3,2,3,2,3,3,2,0,0
47,,,,,,,,,,,3,4,4,4,1,4,4,4,5,3,3,3,3,1,1,4,3,3,1,2,4,3,3,1,2,0,0
48,,,,,,,,,,,4,1,4,2,1,4,4,3,5,4,1,3,3,1,1,3,4,4,1,1,4,2,3,3,3,0,0
49,,,,,,,,,,,4,4,4,4,1,1,3,1,6,3,1,3,2,2,2,3,3,1,2,2,3,3,3,4,3,0,1
50,,,,,,,,,,,3,3,4,3,1,3,4,3,5,3,3,3,4,2,1,3,3,2,1,2,3,2,3,3,3,0,0
51,,,,,,,,,,,3,2,4,4,1,3,4,2,5,3,3,3,4,3,1,3,3,2,2,1,2,2,2,4,4,0,0
52,,,,,,,,,,,4,4,4,4,1,4,2,2,5,2,1,4,4,1,1,4,2,2,1,1,4,3,4,4,4,0,0
53,,,,,,,,,,,3,2,3,3,1,3,2,2,5,3,3,3,1,2,1,2,3,2,2,2,3,2,3,3,3,0,1
54,,,,,,,,,,,2,3,3,3,2,2,2,2,5,2,3,3,3,2,1,2,2,2,2,2,1,2,3,4,3,0,1
